height,time,proposer_address,next_proposer_address,num_txs
32412165,2025-03-28 02:32:24.866827066+00:00,0CEB917DE4DF1C4B4F8EDFC4ACE6FD6D39F1E61E,D82343FCD5A74969C0B48457D70E8D55D8F6B801,2
32412166,2025-03-28 02:32:26.480310871+00:00,72B1489EFB57A680577A838A5BAAEBE162A7C802,0CEB917DE4DF1C4B4F8EDFC4ACE6FD6D39F1E61E,1
32412167,2025-03-28 02:32:27.635410198+00:00,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,72B1489EFB57A680577A838A5BAAEBE162A7C802,2
32412168,2025-03-28 02:32:28.700916997+00:00,5E809E91EAB69D385784D191140E9C8CF6DD1037,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,1
32412169,2025-03-28 02:32:29.967290922+00:00,7FC1DA40B2568DDBD53CFF3B76C49CE89AE28680,5E809E91EAB69D385784D191140E9C8CF6DD1037,3
32412170,2025-03-28 02:32:31.017224741+00:00,CB5A63B91E8F4EE8DB935942CBE25724636479E0,7FC1DA40B2568DDBD53CFF3B76C49CE89AE28680,3
32412171,2025-03-28 02:32:32.142688976+00:00,16A169951A878247DBE258FDDC71638F6606D156,CB5A63B91E8F4EE8DB935942CBE25724636479E0,2
32412172,2025-03-28 02:32:33.321279998+00:00,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,16A169951A878247DBE258FDDC71638F6606D156,0
32412173,2025-03-28 02:32:34.368057720+00:00,66B69666EBF776E7EBCBE197ABA466A712E27076,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,4
32412174,2025-03-28 02:32:35.457239732+00:00,9D0281786872D3BBE53C58FBECA118D86FA82177,66B69666EBF776E7EBCBE197ABA466A712E27076,0
32412175,2025-03-28 02:32:36.606943896+00:00,46DEA137CFB10BC419B2577AA9A58718680E18BA,9D0281786872D3BBE53C58FBECA118D86FA82177,2
