height,time,proposer_address,next_proposer_address,num_txs
32403812,2025-03-27 23:33:21.904113969+00:00,E242DB2CB929D6F44A1A2FE485CC7D3F620FFAEB,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,1
32403813,2025-03-27 23:33:23.377713216+00:00,CB5A63B91E8F4EE8DB935942CBE25724636479E0,E242DB2CB929D6F44A1A2FE485CC7D3F620FFAEB,1
32403814,2025-03-27 23:33:24.526671370+00:00,D8A6C54C54A236D4843BA566520BA03F60F09E35,CB5A63B91E8F4EE8DB935942CBE25724636479E0,3
32403815,2025-03-27 23:33:25.636682297+00:00,F9A968A405FB0429410AE5165E5F2193271E678A,D8A6C54C54A236D4843BA566520BA03F60F09E35,0
32403816,2025-03-27 23:33:26.783060657+00:00,DBCD765DB2640631946C1393BA255876C76DA38E,F9A968A405FB0429410AE5165E5F2193271E678A,6
32403817,2025-03-27 23:33:27.918604424+00:00,9D0281786872D3BBE53C58FBECA118D86FA82177,DBCD765DB2640631946C1393BA255876C76DA38E,1
32403818,2025-03-27 23:33:29.037533775+00:00,51D7D05A659208A6576190AEBBE8F07603851515,9D0281786872D3BBE53C58FBECA118D86FA82177,0
32403819,2025-03-27 23:33:30.045689386+00:00,46DEA137CFB10BC419B2577AA9A58718680E18BA,51D7D05A659208A6576190AEBBE8F07603851515,3
32403820,2025-03-27 23:33:31.111854395+00:00,97AFE45395B74E784C88D45E5CCA2995019FAE08,46DEA137CFB10BC419B2577AA9A58718680E18BA,1
32403821,2025-03-27 23:33:32.242031542+00:00,894C56D6CFC3A8E09EB6D1A2E33467C4CF77C0F5,97AFE45395B74E784C88D45E5CCA2995019FAE08,0
32403822,2025-03-27 23:33:33.514126800+00:00,40CC723314B6EBB93B49FBD9D330EEC8B4641CAB,894C56D6CFC3A8E09EB6D1A2E33467C4CF77C0F5,5
32403823,2025-03-27 23:33:34.726493356+00:00,2022FE8CC49E48630C76160E11A880459219D244,40CC723314B6EBB93B49FBD9D330EEC8B4641CAB,0
32403824,2025-03-27 23:33:35.775777678+00:00,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,2022FE8CC49E48630C76160E11A880459219D244,4
32403825,2025-03-27 23:33:36.830008410+00:00,F3F55DA24BB47DA60B0FB71EC1A9C9274BCEEDB2,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,2
32403826,2025-03-27 23:33:37.878100362+00:00,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,F3F55DA24BB47DA60B0FB71EC1A9C9274BCEEDB2,5
32403827,2025-03-27 23:33:38.952588271+00:00,CB5A63B91E8F4EE8DB935942CBE25724636479E0,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,1
32403828,2025-03-27 23:33:40.097676767+00:00,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,CB5A63B91E8F4EE8DB935942CBE25724636479E0,3
32403829,2025-03-27 23:33:41.621692007+00:00,A16E480524D636B2DA2AD18483327C2E10A5E8A0,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,3
32403830,2025-03-27 23:33:43.958146886+00:00,D82343FCD5A74969C0B48457D70E8D55D8F6B801,A16E480524D636B2DA2AD18483327C2E10A5E8A0,1
32403831,2025-03-27 23:33:45.144988811+00:00,AF195943E44FE1D6250076B8BC1910EABC85F1F2,D82343FCD5A74969C0B48457D70E8D55D8F6B801,1
32403832,2025-03-27 23:33:46.382947884+00:00,5FECEC9408A2710833F2F7D848339462C29C1444,AF195943E44FE1D6250076B8BC1910EABC85F1F2,1
32403833,2025-03-27 23:33:47.602852235+00:00,138FD9AB7ABE0BAED14CA7D41D885B78052A4AA1,5FECEC9408A2710833F2F7D848339462C29C1444,1
32403834,2025-03-27 23:33:48.882403723+00:00,66B69666EBF776E7EBCBE197ABA466A712E27076,138FD9AB7ABE0BAED14CA7D41D885B78052A4AA1,0
32403835,2025-03-27 23:33:49.969434743+00:00,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,66B69666EBF776E7EBCBE197ABA466A712E27076,0
32403836,2025-03-27 23:33:51.035867131+00:00,A06B5B682B425AD206A35CAF246FD70DD098E506,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,2
32403837,2025-03-27 23:33:53.127524369+00:00,76F706AE73A8251652BC72CB801E4294E2135AFB,A06B5B682B425AD206A35CAF246FD70DD098E506,1
