height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181537,2025-04-29T09:40:47.99299539Z,bbn-1,718160E3538E0B0ED83D3B3DC4ECE83809FCD107,67,100,100,100,58578606,520,1285313087,804727832,6CC0A1531FF58D61DC9061C5B89BC0EFC07911FC,-1449847509,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181538,2025-04-29T09:40:58.046824874Z,bbn-1,6CC0A1531FF58D61DC9061C5B89BC0EFC07911FC,77,100,100,100,58578606,520,1285313087,795837701,7EA986D8723587F5E653C0DF785FCFCE39238785,-1449846989,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181539,2025-04-29T09:41:08.217544296Z,bbn-1,EC033669FE506006F870BD8B12CB524A3ABC3693,81,100,100,100,58578606,520,1285313087,804444651,7EA986D8723587F5E653C0DF785FCFCE39238785,-1449846469,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181540,2025-04-29T09:41:19.117019461Z,bbn-1,7EA986D8723587F5E653C0DF785FCFCE39238785,88,100,100,100,58578606,520,1285313087,785226611,76F6DD3F07BF2E9FF5B0A188BC08D5A4EFCF40D9,-1449845949,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181541,2025-04-29T09:41:29.175168878Z,bbn-1,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,84,100,100,100,58578606,520,1285313087,794197301,76F6DD3F07BF2E9FF5B0A188BC08D5A4EFCF40D9,-1449845429,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181542,2025-04-29T09:41:39.26024933Z,bbn-1,76F6DD3F07BF2E9FF5B0A188BC08D5A4EFCF40D9,69,100,100,100,58578606,520,1285313087,792834264,3965C223E13AC66F8175C86E657D396C711964B7,-1449844909,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181543,2025-04-29T09:41:49.29210379Z,bbn-1,3965C223E13AC66F8175C86E657D396C711964B7,72,100,100,100,58578606,520,1285313087,771254606,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,-1449844389,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181544,2025-04-29T09:41:59.356246966Z,bbn-1,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,77,100,100,100,58578606,520,1285313087,772183117,B8F9204A348E0DBC85ABE5BC98936D6B84C01E45,-1449843869,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181545,2025-04-29T09:42:09.43683031Z,bbn-1,B8F9204A348E0DBC85ABE5BC98936D6B84C01E45,77,100,100,100,58578606,520,1285313087,778053587,B03F0CB997F3428EF3968833BCA2F2A4F613A8EB,-1449843349,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181546,2025-04-29T09:42:19.368387155Z,bbn-1,B03F0CB997F3428EF3968833BCA2F2A4F613A8EB,71,100,100,100,58578606,520,1285313087,782334710,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,-1449842829,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181547,2025-04-29T09:42:29.41949795Z,bbn-1,33ECD5899A91105BB4E51066EB138189BC3825AD,74,100,100,100,58578606,520,1285313087,802402130,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,-1449842309,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181548,2025-04-29T09:42:39.537243004Z,bbn-1,B41EF50272A7A2398BA617D3C963986EBEBC5B2D,75,100,100,100,58578606,520,1285313087,795182403,616A45478336B92583CFE29E8EE942802DE69EAE,-1449841789,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181549,2025-04-29T09:42:50.34481769Z,bbn-1,616A45478336B92583CFE29E8EE942802DE69EAE,77,100,100,100,58578606,520,1285313087,794247074,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,-1449841269,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181550,2025-04-29T09:43:00.343236213Z,bbn-1,C27B627C2FD11EE1E3E850738720692BE2E3F4C6,75,100,100,100,58578606,520,1285313087,813156957,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,-1449840749,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181551,2025-04-29T09:43:10.348233293Z,bbn-1,DA37D2935EAE0A92DE55E86DB2E887B4F18575F0,72,100,100,100,58578606,520,1285313087,830168702,5295664886565F43A3074140551A755872BF6FFD,-1449840229,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181552,2025-04-29T09:43:20.956000004Z,bbn-1,5295664886565F43A3074140551A755872BF6FFD,78,100,100,100,58578606,520,1285313087,795102977,43804074334AC6111233037EFE20105C516B0E9F,-1449839709,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181553,2025-04-29T09:43:31.189866568Z,bbn-1,43804074334AC6111233037EFE20105C516B0E9F,84,100,100,100,58578606,520,1285313087,832968283,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,-1449839189,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
